1_Mục_đích_sd_srm,4_Sd_khi_nào,5_Mua_ở_đâu,6_Quảng_cáo_ở_đâu,91_Thích_hương_trái_cây?,92_Thích_hương_rau_củ?,93_Thích_hương_hoa_cỏ?,15_Xuất_xứ,16_Mua_online_ở_đâu,17_Mua_offline_ở_đâu,20_Lo_ngại_về_srm
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Mỹ, Hàn Quốc, Pháp","Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Nhà thuốc, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng, Siêu thị; trung tâm thương mại","Tư vấn từ bác sĩ, Gia đình; người thân, Bạn bè",,,,"Nhật Bản, Hàn Quốc, Anh","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi make-up, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Chuyên viên, Tự tìm hiểu, Bạn bè","Dâu, Táo","Thảo mộc, Nha đam, Rau má","Lavender, Hoa hồng, Trà xanh","Nhật Bản, Hàn Quốc, Anh","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm",Trước khi đi ngủ,Siêu thị; trung tâm thương mại,Truyền thông; quảng cáo,"Dâu, Việt quất",Nha đam,Hoa hồng,Canada,Website của hãng,Tạp hoá,Sản phẩm không có nguồn gốc rõ ràng
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ",Các cửa hàng mỹ phẩm,Gia đình; người thân,Đào,Nha đam,Hoa hồng,Hàn Quốc,Các trang mạng xã hội,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Tự tìm hiểu, Bạn bè",,,,"Hàn Quốc, Anh",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Chuyên viên","Táo, Việt quất, Đào","Thảo mộc, Nha đam, Rau má","Lavender, Anh đào, Trà xanh","Mỹ, Đức, Anh","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm, Cửa hàng tiện lợi","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,Siêu thị; trung tâm thương mại,Tự tìm hiểu,Khác,Thảo mộc,Lavender,Mỹ,Sàn thương mại điện tử,"Siêu thị, Cửa hàng tiện lợi","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Sau khi về nhà,Siêu thị; trung tâm thương mại,Tự tìm hiểu,Chanh,"Thảo mộc, Khác",Hoa hồng,Nhật Bản,Sàn thương mại điện tử,Siêu thị,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Tự tìm hiểu",Đào,Nha đam,Lavender,"Hàn Quốc, Pháp",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
"Hỗ trợ làm trắng da, Hỗ trợ da căng bóng, Cấp ẩm; cân bằng độ pH","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm",Truyền thông; quảng cáo,,,,Hàn Quốc,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
"Hỗ trợ làm trắng da, Hỗ trợ da căng bóng, Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Nhân viên tiếp thị, Tư vấn từ bác sĩ",,,,Hàn Quốc,Các trang mạng xã hội,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Hỗ trợ làm trắng da, Cấp ẩm; cân bằng độ pH, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Nhân viên tiếp thị, Bạn bè","Táo, Đào",Nha đam,"Hoa hồng, Anh đào, Trà xanh","Mỹ, Hàn Quốc, Đức","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị, Nhà thuốc","Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,"Mỹ, Hàn Quốc",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Hàng xách tay, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",,,,Canada,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Nhà thuốc","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Khác,Khác,Khác,"Mỹ, Nhật Bản, Việt Nam",Sàn thương mại điện tử,Nhà thuốc,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ da căng bóng, Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi đi ngủ","Cửa hàng của hãng, Siêu thị; trung tâm thương mại","Chuyên viên, Tự tìm hiểu",,,,"Hàn Quốc, Pháp",Website của hãng,Siêu thị,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu",Dâu,Nha đam,Hoa hồng,"Hàn Quốc, Pháp",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm",Không có hiệu quả hoặc hiệu quả kém
"Hỗ trợ làm trắng da, Hỗ trợ da căng bóng, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi thức dậy, Trước khi đi ngủ","Cửa hàng của hãng, Siêu thị; trung tâm thương mại, Cửa hàng tiện lợi","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè","Táo, Đào","Thảo mộc, Nha đam","Anh đào, Trà xanh","Nhật Bản, Hàn Quốc, Pháp",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng của hãng","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè",,,,"Mỹ, Canada, Đức",Sàn thương mại điện tử,Cửa hàng chính hãng,Hàng giả; hàng nhái
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi về nhà, Trước khi đi ngủ",Các cửa hàng mỹ phẩm,"Gia đình; người thân, Tự tìm hiểu, Bạn bè",Đào,Nha đam,"Lavender, Anh đào, Trà xanh",Hàn Quốc,Website của hãng,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,Các sàn thương mại điện tử,"Gia đình; người thân, Tự tìm hiểu",,,,"Mỹ, Hàn Quốc, Pháp",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Nhân viên tiếp thị, Bạn bè",Táo,"Dưa leo, Nha đam","Trà xanh, Hoa cúc",Pháp,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè","Dâu, Việt quất","Dưa leo, Nha đam","Lavender, Hoa hồng, Trà xanh","Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Siêu thị",Hàng giả; hàng nhái
"Hỗ trợ làm trắng da, Cấp ẩm; cân bằng độ pH, Giúp loại bỏ lớp trang điểm",Trước khi đi ngủ,"Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Nhân viên tiếp thị, Chuyên viên, Gia đình; người thân","Dâu, Táo, Mâm xôi","Dưa leo, Thảo mộc, Nha đam","Lavender, Hoa hồng, Trà xanh","Canada, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm, Cửa hàng tiện lợi","Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,Sau khi về nhà,"Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại, Nhà thuốc","Tự tìm hiểu, Bạn bè",Chanh,Thảo mộc,Hoa hồng,Nhật Bản,Website của hãng,"Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...,"Sau khi về nhà, Trước khi đi ngủ","Tạp hóa, Cửa hàng tiện lợi",Truyền thông; quảng cáo,,,,Việt Nam,Các trang mạng xã hội,Tạp hoá,Hàng giả; hàng nhái
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi ra đường, Sau khi về nhà","Website của hãng, Các cửa hàng mỹ phẩm",Tư vấn từ bác sĩ,,,,"Pháp, Đức",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Tác dụng phụ; gây kích ứng; bong tróc da
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Tư vấn từ bác sĩ, Chuyên viên",,,,"Mỹ, Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Hỗ trợ da căng bóng, Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...",Trước khi make-up,Website của hãng,"Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Chuyên viên","Táo, Mâm xôi, Việt quất",Cà chua,Anh đào,Nhật Bản,Các trang mạng xã hội,Nhà thuốc,Sản phẩm không có nguồn gốc rõ ràng
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Sau khi về nhà,"Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu",Chanh,Thảo mộc,Trà xanh,"Nhật Bản, Hàn Quốc, Việt Nam",Website của hãng,"Cửa hàng chính hãng, Siêu thị, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Bạn bè","Cherry, Đào","Nha đam, Rau má","Anh đào, Trà xanh","Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà","Hàng xách tay, Website của hãng, Nhà thuốc","Tư vấn từ bác sĩ, Gia đình; người thân",Đào,Thảo mộc,Lavender,Pháp,Website của hãng,"Cửa hàng chính hãng, Nhà thuốc",Hàng giả; hàng nhái
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Trước khi ra đường, Sau khi về nhà","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại, Tạp hóa","Truyền thông; quảng cáo, Gia đình; người thân","Dâu, Mâm xôi, Cherry","Nha đam, Cà chua, Cần tây","Lavender, Anh đào, Trà xanh","Canada, Úc, Pháp",Website của hãng,"Siêu thị, Các cửa hàng mỹ phẩm, Cửa hàng tiện lợi","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;...","Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Tự tìm hiểu, Bạn bè","Táo, Đào, Cam","Nha đam, Rau má, Cà chua","Lavender, Hoa hồng","Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Website của hãng, Cửa hàng của hãng","Truyền thông; quảng cáo, Nhân viên tiếp thị, Tư vấn từ bác sĩ",,,,Mỹ,"Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Trước khi ra đường, Sau khi về nhà","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Cửa hàng tiện lợi","Tự tìm hiểu, Bạn bè","Táo, Đào, Cam","Thảo mộc, Nha đam, Rau má",Trà xanh,"Mỹ, Nhật Bản",Sàn thương mại điện tử,"Các cửa hàng mỹ phẩm, Cửa hàng tiện lợi","Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Tự tìm hiểu","Cam, Chanh","Nha đam, Rau má","Anh đào, Trà xanh","Hàn Quốc, Việt Nam",Sàn thương mại điện tử,"Cửa hàng chính hãng, Nhà thuốc, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Bạn bè",,,,Khác,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,Hàng giả; hàng nhái
"Hỗ trợ làm trắng da, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Gia đình; người thân, Bạn bè","Cherry, Việt quất, Đào","Thảo mộc, Nha đam","Lavender, Anh đào","Hàn Quốc, Việt Nam","Website của hãng, Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Trước khi make-up, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Gia đình; người thân, Tự tìm hiểu",Đào,Nha đam,Hoa hồng,Hàn Quốc,Sàn thương mại điện tử,Siêu thị,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ",Các cửa hàng mỹ phẩm,"Gia đình; người thân, Tự tìm hiểu, Bạn bè","Dâu, Táo, Chanh","Nha đam, Rau má","Lavender, Hoa hồng",Pháp,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Tác dụng phụ; gây kích ứng; bong tróc da, Không có hiệu quả hoặc hiệu quả kém"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Trước khi ra đường, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Tự tìm hiểu",,,,"Mỹ, Hàn Quốc",Sàn thương mại điện tử,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Trước khi đi ngủ,"Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm, Siêu thị; trung tâm thương mại","Truyền thông; quảng cáo, Bạn bè",,,,"Nhật Bản, Hàn Quốc",Sàn thương mại điện tử,"Siêu thị, Các cửa hàng mỹ phẩm",Tác dụng phụ; gây kích ứng; bong tróc da
"Hỗ trợ da hấp thu dưỡng chất cho những bước dưỡng sau, Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Website của hãng",Tự tìm hiểu,"Dâu, Táo, Cherry",Thảo mộc,"Lavender, Hoa cúc","Nhật Bản, Hàn Quốc, Việt Nam","Website của hãng, Sàn thương mại điện tử","Siêu thị, Nhà thuốc, Cửa hàng tiện lợi","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ",Các sàn thương mại điện tử,"Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Bạn bè","Đào, Cam","Thảo mộc, Nha đam",Trà xanh,"Hàn Quốc, Việt Nam",Sàn thương mại điện tử,Cửa hàng chính hãng,"Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà, Trước khi đi ngủ","Các sàn thương mại điện tử, Cửa hàng tiện lợi, Nhà thuốc","Truyền thông; quảng cáo, Tự tìm hiểu, Bạn bè",Việt quất,"Dưa leo, Nha đam, Cà chua","Lavender, Hoa hồng, Trà xanh","Nhật Bản, Việt Nam",Sàn thương mại điện tử,"Cửa hàng chính hãng, Cửa hàng tiện lợi",Tác dụng phụ; gây kích ứng; bong tróc da
Cấp ẩm; cân bằng độ pH,Trước khi đi ngủ,"Website của hãng, Cửa hàng của hãng","Truyền thông; quảng cáo, Nhân viên tiếp thị",,,,"Mỹ, Canada",Sàn thương mại điện tử,Cửa hàng chính hãng,Sản phẩm không có nguồn gốc rõ ràng
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Nhân viên tiếp thị, Tự tìm hiểu",Cherry,Cà chua,Trà xanh,Hàn Quốc,Sàn thương mại điện tử,Các cửa hàng mỹ phẩm,"Hàng giả; hàng nhái, Không có hiệu quả hoặc hiệu quả kém"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm","Sau khi thức dậy, Trước khi đi ngủ","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Chuyên viên, Tự tìm hiểu",,,,"Hàn Quốc, Pháp, Khác","Website của hãng, Sàn thương mại điện tử",Cửa hàng chính hãng,"Sản phẩm không có nguồn gốc rõ ràng, Tác dụng phụ; gây kích ứng; bong tróc da"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...",Sau khi về nhà,"Các sàn thương mại điện tử, Hàng xách tay, Cửa hàng của hãng","Truyền thông; quảng cáo, Tự tìm hiểu",,,,"Mỹ, Hàn Quốc, Pháp","Sàn thương mại điện tử, Các trang mạng xã hội","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Sản phẩm không có nguồn gốc rõ ràng"
"Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Giúp loại bỏ lớp trang điểm, Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Sau khi về nhà","Các sàn thương mại điện tử, Website của hãng, Các cửa hàng mỹ phẩm","Truyền thông; quảng cáo, Tư vấn từ bác sĩ, Bạn bè","Dâu, Táo, Cam","Thảo mộc, Nha đam, Rau má","Hoa hồng, Trà xanh, Hoa cúc","Mỹ, Nhật Bản, Hàn Quốc","Website của hãng, Sàn thương mại điện tử","Cửa hàng chính hãng, Các cửa hàng mỹ phẩm","Hàng giả; hàng nhái, Tác dụng phụ; gây kích ứng; bong tróc da"
"Cấp ẩm; cân bằng độ pH, Loại bỏ bụi bẩn; dầu thừa; tế bào chết;..., Ngăn ngừa các bệnh về da như: mụn; viêm lỗ chân lông;...","Sau khi thức dậy, Trước khi đi ngủ","Website của hãng, Cửa hàng của hãng","Gia đình; người thân, Tự tìm hiểu, Bạn bè","Mâm xôi, Cherry, Việt quất","Nha đam, Rau má, Cà chua","Hoa hồng, Anh đào, Hoa sứ","Mỹ, Hàn Quốc, Pháp",Website của hãng,"Cửa hàng chính hãng, Các cửa hàng mỹ phẩm",Hàng giả; hàng nhái
